Foreign State;Region;2008_visas;2009_visas;2010_visas;2011_visas;2012_visas;2013_visas;2014_visas;2015_visas;2016_visas;2017_visas;2007_Entrants;2007_Derivatives;2007_Total;2008_Entrants;2008_Derivatives;2008_Total;2009_Entrants;2009_Derivatives;2009_Total;2010_Entrants;2010_Derivatives;2010_Total;2011_Entrants;2011_Derivatives;2011_Total;2012_Entrants;2012_Derivatives;2012_Total;2013_Entrants;2013_Derivatives;2013_Total;2014_Entrants;2014_Derivatives;2014_Total;2015_Entrants;2015_Derivatives;2015_Total;2016_Entrants;2016_Derivatives;2016_Total;2017_Entrants;2017_Derivatives;2017_Total;2018_Entrants;2018_Derivatives;2018_Total
Slovakia;Europe;67;45;43;37;17;36;36;44;26;31;8139;5562;13701;6629;4347;10976;5112;3369;8481;3546;2320;5866;4095;2615;6710;3970;2472;6442;4515;2928;7443;4876;3324;8200;4742;3011;7753;5526;3562;9088;5302;3550;8852;5197;3491;8688
Slovenia;Europe;6;7;5;2;2;4;1;5;8;12;454;264;718;598;362;960;624;424;1048;521;338;859;696;472;1168;720;511;1231;756;535;1291;970;733;1703;993;742;1735;1024;768;1792;1006;747;1753;974;687;1661
Solomon Islands;Oceania;0;0;0;0;0;0;0;0;0;0;16;19;35;16;9;25;19;17;36;28;15;43;37;35;72;48;54;102;32;23;55;27;26;53;63;29;92;65;18;83;59;10;69;92;42;134
Somalia;Africa;40;70;71;52;28;78;46;59;104;56;14667;5705;20372;11052;4595;15647;10441;4895;15336;10664;4669;15333;10370;4990;15360;10402;4403;14805;9807;3981;13788;8899;3879;12778;13447;4124;17571;21554;6833;28387;26815;8584;35399;45974;14605;60579
South Africa;Africa;235;301;303;309;225;319;217;197;182;215;11729;11433;23162;14646;15568;30214;18086;20073;38159;18013;22195;40208;22249;27895;50144;21523;27047;48570;21269;26403;47672;24679;31677;56356;23589;28579;52168;27124;34938;62062;28518;38210;66728;28775;38569;67344
South Sudan;Africa;;;;0;0;0;0;1;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496;287;783;574;353;927;804;460;1264;1624;1070;2694;1935;1238;3173;2463;1769;4232
Spain;Europe;56;75;80;86;75;95;183;183;101;108;4297;2612;6909;5285;3273;8558;5254;3114;8368;5131;3127;8258;7135;4758;11893;7715;5207;12922;9381;6251;15632;14308;10100;24408;14866;10233;25099;17549;12729;30278;16095;12012;28107;16185;11622;27807
Sri Lanka;Asia;466;548;441;336;217;296;301;201;324;160;44237;44152;88389;49805;52085;101890;58074;64229;122303;44892;47327;92219;40710;43602;84312;40792;42980;83772;52052;50479;102531;45119;46142;91261;53808;54181;107989;57409;59264;116673;51899;53082;104981;69877;69650;139527
Saint Pierre and Miquelon ;Europe;0;0;0;0;0;0;0;0;0;0;15;5;20;25;19;44;28;17;45;11;17;28;17;9;26;15;10;25;21;13;34;15;14;29;7;2;9;8;9;17;15;7;22;10;16;26
Sudan;Africa;502;592;557;569;308;436;965;1191;1833;1174;37589;17845;55434;36258;19971;56229;39621;21818;61439;49282;21427;70709;60547;24199;84746;62161;34049;96210;72108;41487;113595;79811;49626;129437;170423;82325;252748;197631;142761;340392;259726;191697;451423;286351;217961;504312
Suriname;South America, Central America, and the Caribbean;2;1;3;0;1;3;4;2;2;0;438;356;794;503;465;968;460;470;930;382;382;764;429;462;891;439;466;905;462;514;976;467;580;1047;424;460;884;453;483;936;520;553;1073;644;679;1323
